CMDLINE /Library/Frameworks/Python.framework/Versions/3.11/bin/python3.11 server.py
MEM 32.691406 1692430289.1896
MEM 32.691406 1692430289.2930
MEM 32.691406 1692430289.3971
MEM 32.691406 1692430289.4976
MEM 32.691406 1692430289.5993
MEM 32.691406 1692430289.6998
MEM 32.691406 1692430289.8042
MEM 32.691406 1692430289.9082
MEM 32.691406 1692430290.0115
MEM 32.691406 1692430290.1158
MEM 32.691406 1692430290.2210
MEM 32.691406 1692430290.3222
MEM 32.691406 1692430290.4267
MEM 32.691406 1692430290.5274
MEM 32.691406 1692430290.6281
MEM 32.691406 1692430290.7289
MEM 32.691406 1692430290.8338
MEM 32.691406 1692430290.9383
MEM 32.691406 1692430291.0429
MEM 32.691406 1692430291.1471
MEM 32.691406 1692430291.2517
MEM 32.691406 1692430291.3563
MEM 32.691406 1692430291.4605
MEM 32.691406 1692430291.5614
MEM 32.691406 1692430291.6657
MEM 32.691406 1692430291.7663
MEM 32.691406 1692430291.8677
MEM 32.691406 1692430291.9707
MEM 32.691406 1692430292.0712
MEM 32.691406 1692430292.1756
MEM 32.691406 1692430292.2805
MEM 32.691406 1692430292.3809
MEM 32.691406 1692430292.4840
MEM 32.691406 1692430292.5873
MEM 32.691406 1692430292.6894
MEM 32.691406 1692430292.7923
MEM 32.691406 1692430292.8941
MEM 32.691406 1692430292.9976
MEM 32.691406 1692430293.1000
MEM 32.691406 1692430293.2008
MEM 32.691406 1692430293.3012
MEM 32.691406 1692430293.4052
MEM 32.691406 1692430293.5091
MEM 32.691406 1692430293.6113
MEM 32.691406 1692430293.7141
MEM 32.691406 1692430293.8171
MEM 32.691406 1692430293.9207
MEM 32.691406 1692430294.0216
MEM 32.691406 1692430294.1254
MEM 32.691406 1692430294.2308
MEM 32.691406 1692430294.3351
MEM 32.691406 1692430294.4396
MEM 32.691406 1692430294.5449
MEM 32.691406 1692430294.6493
MEM 32.691406 1692430294.7512
MEM 32.691406 1692430294.8537
MEM 32.691406 1692430294.9544
MEM 32.691406 1692430295.0550
MEM 32.691406 1692430295.1576
MEM 32.691406 1692430295.2583
MEM 32.691406 1692430295.3639
MEM 32.691406 1692430295.4688
MEM 32.691406 1692430295.5699
MEM 32.691406 1692430295.6738
MEM 32.691406 1692430295.7750
MEM 32.691406 1692430295.8772
MEM 32.691406 1692430295.9783
MEM 32.691406 1692430296.0788
MEM 32.691406 1692430296.1806
MEM 32.691406 1692430296.2858
MEM 32.691406 1692430296.3866
MEM 32.691406 1692430296.4905
MEM 32.691406 1692430296.5934
MEM 32.691406 1692430296.6936
MEM 32.691406 1692430296.7946
MEM 32.691406 1692430296.8965
MEM 32.691406 1692430297.0008
MEM 32.691406 1692430297.1055
MEM 32.691406 1692430297.2093
MEM 32.691406 1692430297.3132
MEM 32.691406 1692430297.4172
MEM 32.691406 1692430297.5204
MEM 32.691406 1692430297.6251
MEM 32.691406 1692430297.7292
MEM 32.691406 1692430297.8296
MEM 32.691406 1692430297.9324
MEM 32.691406 1692430298.0368
MEM 32.691406 1692430298.1377
MEM 32.691406 1692430298.2409
MEM 32.691406 1692430298.3451
MEM 32.691406 1692430298.4486
MEM 32.691406 1692430298.5524
MEM 32.691406 1692430298.6570
MEM 32.691406 1692430298.7612
MEM 32.691406 1692430298.8651
MEM 32.691406 1692430298.9662
MEM 32.691406 1692430299.0666
MEM 32.691406 1692430299.1699
MEM 32.691406 1692430299.2742
MEM 32.691406 1692430299.3780
MEM 32.691406 1692430299.4824
MEM 32.691406 1692430299.5828
MEM 32.691406 1692430299.6867
MEM 32.691406 1692430299.7915
MEM 32.691406 1692430299.8918
MEM 32.691406 1692430299.9963
MEM 32.691406 1692430300.0977
MEM 32.691406 1692430300.2006
MEM 32.691406 1692430300.3015
MEM 32.691406 1692430300.4058
MEM 32.691406 1692430300.5086
MEM 32.691406 1692430300.6101
MEM 32.691406 1692430300.7287
MEM 32.691406 1692430300.8319
MEM 32.691406 1692430300.9367
MEM 32.691406 1692430301.0415
MEM 32.691406 1692430301.1447
MEM 32.691406 1692430301.2501
MEM 32.691406 1692430301.3510
MEM 32.691406 1692430301.4545
MEM 32.691406 1692430301.5557
MEM 32.691406 1692430301.6579
MEM 32.691406 1692430301.7610
MEM 32.691406 1692430301.8628
MEM 32.691406 1692430301.9681
MEM 32.691406 1692430302.0702
MEM 32.691406 1692430302.1714
MEM 32.691406 1692430302.2723
MEM 32.691406 1692430302.3774
MEM 32.691406 1692430302.4808
MEM 32.691406 1692430302.5843
MEM 32.691406 1692430302.6845
MEM 32.691406 1692430302.7897
MEM 32.691406 1692430302.8910
MEM 32.691406 1692430302.9945
MEM 32.691406 1692430303.0973
MEM 32.691406 1692430303.2008
MEM 32.691406 1692430303.3050
MEM 32.691406 1692430303.4094
MEM 32.691406 1692430303.5146
MEM 32.691406 1692430303.6164
MEM 32.691406 1692430303.7186
MEM 32.691406 1692430303.8237
MEM 32.691406 1692430303.9287
MEM 32.691406 1692430304.0326
MEM 32.691406 1692430304.1376
MEM 32.691406 1692430304.2426
MEM 32.691406 1692430304.3456
MEM 32.691406 1692430304.4490
MEM 32.691406 1692430304.5523
MEM 32.691406 1692430304.6575
MEM 32.691406 1692430304.7600
MEM 32.691406 1692430304.8646
MEM 32.691406 1692430304.9662
MEM 32.691406 1692430305.0676
MEM 32.691406 1692430305.1720
MEM 32.691406 1692430305.2735
MEM 32.691406 1692430305.3739
MEM 32.691406 1692430305.4753
MEM 32.691406 1692430305.5780
MEM 32.691406 1692430305.6788
MEM 32.691406 1692430305.7817
MEM 32.691406 1692430305.8845
MEM 32.691406 1692430305.9899
MEM 32.691406 1692430306.0953
MEM 32.691406 1692430306.1998
MEM 32.691406 1692430306.3050
MEM 32.691406 1692430306.4068
MEM 32.691406 1692430306.5079
MEM 32.691406 1692430306.6096
MEM 32.691406 1692430306.7137
MEM 32.691406 1692430306.8151
MEM 32.691406 1692430306.9206
MEM 32.691406 1692430307.0259
MEM 32.691406 1692430307.1318
MEM 32.691406 1692430307.2351
MEM 32.691406 1692430307.3404
MEM 32.691406 1692430307.4433
MEM 32.691406 1692430307.5485
MEM 32.691406 1692430307.6509
MEM 32.691406 1692430307.7515
MEM 32.691406 1692430307.8518
MEM 32.691406 1692430307.9524
MEM 32.691406 1692430308.0532
MEM 32.691406 1692430308.1576
MEM 32.691406 1692430308.2615
MEM 32.691406 1692430308.3635
MEM 32.691406 1692430308.4654
MEM 32.691406 1692430308.5697
MEM 32.691406 1692430308.6745
MEM 32.691406 1692430308.7771
MEM 32.691406 1692430308.8773
MEM 32.691406 1692430308.9820
MEM 32.691406 1692430309.0838
MEM 32.691406 1692430309.1852
MEM 32.691406 1692430309.2904
MEM 32.691406 1692430309.3956
MEM 32.691406 1692430309.4975
MEM 32.691406 1692430309.5979
MEM 32.691406 1692430309.7007
MEM 32.691406 1692430309.8008
MEM 32.691406 1692430309.9014
MEM 32.691406 1692430310.0017
MEM 32.691406 1692430310.1037
MEM 32.691406 1692430310.2054
MEM 32.691406 1692430310.3096
MEM 32.691406 1692430310.4102
MEM 32.691406 1692430310.5107
MEM 32.691406 1692430310.6144
MEM 32.691406 1692430310.7194
MEM 32.691406 1692430310.8246
MEM 32.691406 1692430310.9263
MEM 32.691406 1692430311.0291
MEM 32.691406 1692430311.1304
MEM 32.691406 1692430311.2327
MEM 32.691406 1692430311.3365
MEM 32.691406 1692430311.4369
MEM 32.691406 1692430311.5393
MEM 32.691406 1692430311.6413
MEM 32.691406 1692430311.7421
MEM 32.691406 1692430311.8424
MEM 32.691406 1692430311.9429
MEM 32.691406 1692430312.0469
MEM 32.691406 1692430312.1500
MEM 32.691406 1692430312.2527
MEM 32.691406 1692430312.3537
MEM 32.691406 1692430312.4566
MEM 32.691406 1692430312.5611
MEM 32.691406 1692430312.6657
MEM 32.691406 1692430312.7697
MEM 32.691406 1692430312.8746
MEM 32.691406 1692430312.9792
MEM 32.691406 1692430313.0800
MEM 32.691406 1692430313.1835
MEM 32.691406 1692430313.2839
MEM 32.691406 1692430313.3864
MEM 32.691406 1692430313.4901
MEM 32.691406 1692430313.5954
MEM 32.691406 1692430313.7007
MEM 32.691406 1692430313.8010
MEM 32.691406 1692430313.9059
MEM 32.691406 1692430314.0081
MEM 32.691406 1692430314.1115
MEM 32.691406 1692430314.2136
MEM 32.691406 1692430314.3155
MEM 32.691406 1692430314.4180
MEM 32.691406 1692430314.5231
MEM 32.691406 1692430314.6283
MEM 32.691406 1692430314.7311
MEM 32.691406 1692430314.8350
MEM 32.691406 1692430314.9355
MEM 32.691406 1692430315.0359
MEM 32.691406 1692430315.1370
MEM 32.691406 1692430315.2376
MEM 32.691406 1692430315.3409
MEM 32.691406 1692430315.4453
MEM 32.691406 1692430315.5483
MEM 32.691406 1692430315.6537
MEM 32.691406 1692430315.7583
MEM 32.691406 1692430315.8631
MEM 32.691406 1692430315.9641
MEM 32.691406 1692430316.0646
MEM 32.691406 1692430316.1695
MEM 32.691406 1692430316.2726
MEM 32.691406 1692430316.3774
MEM 32.691406 1692430316.4816
MEM 32.691406 1692430316.5858
MEM 32.691406 1692430316.6903
MEM 32.691406 1692430316.7935
